policy,labels_removed,nodes_removed,node_loss_pct,critical_removed,critical_removed_share_pct,baseline_critical_rate_pct,remaining_critical_rate_pct,labels
top_10_benefit_labels,10,401,1.58,221,4.27,20.37,19.82,branch|brick|grout|leaf|mullion|palm|petal|sausage|stove|twig
q1_no_rate_ge_20_min10,24,561,2.21,236,4.56,20.37,19.88,bar|barrier|baseboard|bracket|counter|fingertip|handrail|knot|lane|monitor|mullion|muzzle|palm|patch|rack|rod|seam|sheet|shoulder|statue|stove|tent|waistband|wiper
critical_rate_ge_30_min10,100,3614,14.23,1433,27.69,20.37,17.17,arch|archway|back|balcony|bar|barrier|baseboard|basket|batter|beam|bed|bezel|body|book|border|bracket|branch|brick|clothing|cloud|counter|crack|crust|deck|fence|fin|fingernail|fingertip|flower|foam|foliage|frame|gate|grout|handlebar|handrail|jar|key|knee|knot|knuckle|ladder|lamppost|lane|leaf|letter|marking|mesh|mullion|muzzle
benefit_ge_2_min10,116,4517,17.78,1690,32.66,20.37,16.69,ankle|arch|archway|back|balcony|bar|bark|barrier|baseboard|batter|beam|bed|bezel|body|book|border|bracket|branch|brick|cable|chimney|clothing|cloud|cornice|counter|court|crack|crust|cuff|deck|fence|field|fin|fingernail|fingertip|flower|foam|foliage|frame|gate|grout|handlebar|handrail|key|knee|knot|knuckle|ladder|lamppost|lane
