depth,nodes,leaf_pct,q1_no_pct,q1_uncertain_pct,critical_rate_all_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_bbox_pct,avg_child_count
1,6144,45.43,1.12,0.73,10.69,40.97,9.75,39.85,30.4256,1.3813
2,10785,68.46,5.85,2.37,23.49,56.99,19.21,53.13,13.5242,0.6248
3,6738,85.26,6.72,2.4,22.4,58.41,17.23,54.24,6.8196,0.2283
4,1538,91.55,8.26,2.67,26.14,63.2,20.07,58.69,4.2328,0.1177
5,181,93.37,13.81,3.31,37.02,70.72,28,64.67,2.1254,0.0718
6,13,76.92,23.08,0,38.46,69.23,20,60,1.0462,0.2308
7,3,100,33.33,0,66.67,100,50,100,0.24,0
